urn,source_url,name,brand,adapter,seen_at
urn:epc:id:gtin:05999571050079,https://world.openfoodfacts.org/product/5999571050079/hell-ice-coffee-cold-brew-black-coffee-hell-energy,Hell Ice Coffee Cold Brew Black Coffee,Hell Energy,openfoodfacts,1784436785
urn:epc:id:gtin:00868235000444,https://world.openfoodfacts.org/product/0868235000444/oat-milk-latte-nitro-cold-brew-coffee-rise-brewing-co,Oat Milk Latte Nitro Cold Brew Coffee,Rise Brewing Co.,openfoodfacts,1784436785
urn:epc:id:gtin:00000000792073,https://world.openfoodfacts.org/product/00792073/pumpkin-spice-cold-brew-coffee-concentrate-trader-joe-s,Pumpkin Spice Cold Brew Coffee Concentrate,Trader Joe's,openfoodfacts,1784436785
urn:epc:id:gtin:00000000791731,https://world.openfoodfacts.org/product/00791731/vanilla-cardamom-cold-brew-coffee-trader-joe-s,Vanilla Cardamom Cold Brew Coffee,Trader Joe's,openfoodfacts,1784436785
urn:epc:id:gtin:09276095635491,https://world.openfoodfacts.org/product/9276095635491/cold-brew-coffee-yfood,Cold brew Coffee,yfood,openfoodfacts,1784436785
urn:epc:id:gtin:00810083070810,https://world.openfoodfacts.org/product/0810083070810/cold-brew-black-unsweet-super-coffee,Cold Brew Black & Unsweet,Super Coffee,openfoodfacts,1784436785
urn:epc:id:gtin:00196761497804,https://world.openfoodfacts.org/product/0196761497804/cold-brew-coffee-caramel-good-and-gather,Cold Brew Coffee Caramel,Good And Gather,openfoodfacts,1784436785
urn:epc:id:gtin:00036632079671,https://world.openfoodfacts.org/product/0036632079671/energy-coffee-beverage-stok-cold-brew,ENERGY COFFEE BEVERAGE,SToK COLD BREW,openfoodfacts,1784436785
urn:epc:id:gtin:00854092006972,https://world.openfoodfacts.org/product/0854092006972/cold-brew-coffee-protein-shake-koia,Cold Brew Coffee Protein Shake,Koia,openfoodfacts,1784436785
urn:epc:id:gtin:00813636024186,https://world.openfoodfacts.org/product/0813636024186/cold-brew-black-coffee-espresso-blend-califia-farms,Cold brew black coffee espresso blend,Califia Farms,openfoodfacts,1784436785
urn:epc:id:gtin:00036632080653,https://world.openfoodfacts.org/product/0036632080653/cold-brew-coffee-stock,Cold brew coffee,Stock,openfoodfacts,1784436785
urn:epc:id:gtin:05059697690648,https://world.openfoodfacts.org/product/5059697690648/cold-brew-coffee-unsweetened-concentrate-tesco-finest,Cold Brew Coffee (Unsweetened Concentrate),Tesco Finest,openfoodfacts,1784436785
urn:epc:id:gtin:00071142000555,https://world.openfoodfacts.org/product/0071142000555/cold-brew-coffee-stōk,Cold Brew Coffee,STōK,openfoodfacts,1784436785
urn:epc:id:gtin:00036632080646,https://world.openfoodfacts.org/product/0036632080646/cold-brew-coffee-stōk,Cold Brew Coffee,STōK,openfoodfacts,1784436785
urn:epc:id:gtin:00850205006716,https://world.openfoodfacts.org/product/0850205006716/cold-brew-joe-coffee,Cold Brew,Joe Coffee,openfoodfacts,1784436785
urn:epc:id:gtin:04973450168612,https://world.openfoodfacts.org/product/4973450168612/cold-brewed-coffee-西友,Cold brewed coffee,"UCC, みなさまの墨付き, 上島珈琲, 西友",openfoodfacts,1784436785
urn:epc:id:gtin:00077890482995,https://world.openfoodfacts.org/product/0077890482995/cold-brew-unsweetened-black-coffee-pumpkin-spice,Cold Brew Unsweetened Black Coffee Pumpkin Spice,,openfoodfacts,1784436785
urn:epc:id:gtin:00033372078070,https://world.openfoodfacts.org/product/0033372078070/cold-brew-coffee-un-sweet-black-stok,Cold Brew Coffee Un-Sweet Black,Stok,openfoodfacts,1784436785
urn:epc:id:gtin:00850046990038,https://world.openfoodfacts.org/product/0850046990038/equator-cold-brew-coffee-vanilla,Equator Cold Brew Coffee Vanilla,Equator,openfoodfacts,1784436785
urn:epc:id:gtin:00850038442095,https://world.openfoodfacts.org/product/0850038442095/cold-brew-coffee-with-condensed-milk-nguyen-coffee-supply,Cold Brew Coffee with Condensed Milk,Nguyen Coffee Supply,openfoodfacts,1784436785
urn:epc:id:gtin:00030034096663,https://world.openfoodfacts.org/product/0030034096663/cold-brew-coffee-concentrate-original-market-district,"Cold Brew Coffee Concentrate, Original","Giant Eagle  Inc., Market District",openfoodfacts,1784436785
urn:epc:id:gtin:00030034096687,https://world.openfoodfacts.org/product/0030034096687/market-district-cold-brew-coffee-vanilla,"Market district, cold brew coffee, vanilla","Giant Eagle  Inc., Market District",openfoodfacts,1784436785
urn:epc:id:gtin:00030034096694,https://world.openfoodfacts.org/product/0030034096694/cold-brew-coffee-giant-eagle-inc,Cold Brew Coffee,Giant Eagle  Inc.,openfoodfacts,1784436785
urn:epc:id:gtin:00034538835438,https://world.openfoodfacts.org/product/0034538835438/smith-brothers-farms-tony-s-coffee-organic-cold-brew-coffee-chocolate-smith-bros-farms-inc,"Smith Brothers Farms, Tony's Coffee, Organic Cold Brew Coffee, Chocolate",Smith Bros. Farms Inc.,openfoodfacts,1784436785
