iri,label,domain,obo_id
http://purl.allotrope.org/ontologies/result#AFR_0001938,calibration facet,result,AFO_result#AFR:0001938
http://purl.allotrope.org/ontologies/result#AFR_0001939,calibration curve parameter,result,AFO_result#AFR:0001939
http://purl.allotrope.org/ontologies/result#AFR_0001940,calibration algorithm,result,AFO_result#AFR:0001940
http://purl.allotrope.org/ontologies/result#AFR_0001941,order zero parameter,result,AFO_result#AFR:0001941
http://purl.allotrope.org/ontologies/result#AFR_0001942,order one parameter,result,AFO_result#AFR:0001942
http://purl.allotrope.org/ontologies/result#AFR_0001943,order two parameter,result,AFO_result#AFR:0001943
http://purl.allotrope.org/ontologies/result#AFR_0001944,order three parameter,result,AFO_result#AFR:0001944
http://purl.allotrope.org/ontologies/result#AFR_0001945,pause time,result,AFO_result#AFR:0001945
http://purl.allotrope.org/ontologies/result#AFR_0001946,retention time window lower offset,result,AFO_result#AFR:0001946
http://purl.allotrope.org/ontologies/result#AFR_0001947,retention time window upper offset,result,AFO_result#AFR:0001947
http://purl.allotrope.org/ontologies/result#AFR_0001948,retention time window width,result,AFO_result#AFR:0001948
http://purl.allotrope.org/ontologies/result#AFR_0001950,three-dimensional mass spectrum,result,AFO_result#AFR:0001950
http://purl.allotrope.org/ontologies/result#AFR_0001951,molecular entity facet,result,AFO_result#AFR:0001951
http://purl.allotrope.org/ontologies/result#AFR_0001952,molecular formula,result,AFO_result#AFR:0001952
http://purl.allotrope.org/ontologies/result#AFR_0001953,spectral library search result,result,AFO_result#AFR:0001953
http://purl.allotrope.org/ontologies/result#AFR_0001954,spectral library search hit,result,AFO_result#AFR:0001954
http://purl.allotrope.org/ontologies/result#AFR_0001957,detector scan rate setting,result,AFO_result#AFR:0001957
http://purl.allotrope.org/ontologies/result#AFR_0001958,ionization switch delay setting,result,AFO_result#AFR:0001958
http://purl.allotrope.org/ontologies/result#AFR_0001959,polarity switch delay setting,result,AFO_result#AFR:0001959
http://purl.allotrope.org/ontologies/result#AFR_0001960,m/z setting,result,AFO_result#AFR:0001960
http://purl.allotrope.org/ontologies/result#AFR_0001961,pre-peak background time measurement datum,result,AFO_result#AFR:0001961
http://purl.allotrope.org/ontologies/result#AFR_0001962,post-peak background time measurement datum,result,AFO_result#AFR:0001962
http://purl.allotrope.org/ontologies/result#AFR_0001963,signature,result,AFO_result#AFR:0001963
http://purl.allotrope.org/ontologies/result#AFR_0001964,signal (communication),result,AFO_result#AFR:0001964
http://purl.allotrope.org/ontologies/result#AFR_0001967,polarity setting,result,AFO_result#AFR:0001967
http://purl.allotrope.org/ontologies/result#AFR_0001968,default condition,result,AFO_result#AFR:0001968
http://purl.allotrope.org/ontologies/result#AFR_0001969,electric conductance,result,AFO_result#AFR:0001969
http://purl.allotrope.org/ontologies/result#AFR_0001970,electric resistivity,result,AFO_result#AFR:0001970
http://purl.allotrope.org/ontologies/result#AFR_0001971,electric resistance,result,AFO_result#AFR:0001971
http://purl.allotrope.org/ontologies/result#AFR_0001972,repeated action specification,result,AFO_result#AFR:0001972
http://purl.allotrope.org/ontologies/result#AFR_0001973,location specification,result,AFO_result#AFR:0001973
http://purl.allotrope.org/ontologies/result#AFR_0001974,laboratory information management software,result,AFO_result#AFR:0001974
http://purl.allotrope.org/ontologies/result#AFR_0001976,asset management identifier,result,AFO_result#AFR:0001976
http://purl.allotrope.org/ontologies/result#AFR_0001977,experimental data identifier,result,AFO_result#AFR:0001977
http://purl.allotrope.org/ontologies/result#AFR_0001978,analytical method identifier,result,AFO_result#AFR:0001978
http://purl.allotrope.org/ontologies/result#AFR_0001979,assay identifier,result,AFO_result#AFR:0001979
