source_page,edge_type,target_url,pillar,anchor
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/updating-quantstudio-12k-flex-real-time-pcr-system-software-or-firmware.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/ProFlex_PCR/v2.3.1/ProFlex-firmware-231-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/ProFlex_PCR/v2.3.0/ProFlex-firmware-230-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/ProFlex_PCR/V2.2.4/ProFlex-firmware-224-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://www.thermofisher.com/content/dam/LifeTech/Documents/DOC/ProFlex-firmware-222-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/ProFlex_PCR/v2.2.1/ProFlex-firmware-221-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-2.2.0/ProFlex-2.2.0.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-2.2.0/ProFlex-firmware-220-release-notes.docx,P2,Release notes
